cla_id,bf_StudentID,bf_Name,bf_sex,bf_nation,bf_BornDate,cla_Name,bf_NativePlace,Bf_ResidenceType,bf_policy,cla_term,bf_zhusu,bf_leaveSchool,bf_qinshihao
901,14479,曹某某,男,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,1,,315
901,14499,宋某某,男,汉族,2001,白-高二(01),安徽安庆潜山,城镇,共青团员,2018-2019-1,1,,315
901,14501,王某某,男,汉族,2001,白-高二(01),辽宁省大连市,城镇,共青团员,2018-2019-1,1,,315
901,14502,王某某,男,汉族,2003,白-高二(01),宁波,城镇,共青团员,2018-2019-1,1,,315
901,14491,李某某,男,汉族,2001,白-高二(01),浙江省临海市,城镇,一般,2018-2019-1,1,,319
901,14483,傅某某,男,汉族,2002,白-高二(01),宁波鄞州,城镇,共青团员,2018-2019-1,1,,319
901,14486,金某某,男,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,1,,321
901,14481,戴某某,男,汉族,2002,白-高二(01),宁波,城镇,共青团员,2018-2019-1,1,,321
901,14493,李某某,男,汉族,2001,白-高二(01),乐清市,城镇,共青团员,2018-2019-1,1,,321
901,14498,史某某,男,汉族,2002,白-高二(01),浙江象山,城镇,共青团员,2018-2019-1,1,,321
901,14508,张某某,男,汉族,2001,白-高二(01),江苏省,城镇,一般,2018-2019-1,1,,321
901,14488,金某某,男,汉族,2002,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14489,柯某某,男,汉族,2002,白-高二(01),浙江仙居,城镇,共青团员,2018-2019-1,,,
901,14492,李某某,男,汉族,2001,白-高二(01),福建省明溪县,城镇,共青团员,2018-2019-1,,,
901,14494,鲁某某,男,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14496,瞿某某,男,汉族,2002,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14500,王某某,男,汉族,2002,白-高二(01),宁波,城镇,一般,2018-2019-1,,,
901,14503,伍某某,男,汉族,2002,白-高二(01),温州瑞安,城镇,共青团员,2018-2019-1,,,
901,14504,徐某某,男,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14505,应某某,男,汉族,2002,白-高二(01),宁波,城镇,共青团员,2018-2019-1,,,
901,14506,余某某,男,汉族,2002,白-高二(01),宁波,城镇,共青团员,2018-2019-1,,,
901,14507,俞某某,男,汉族,2002,白-高二(01),汉,城镇,共青团员,2018-2019-1,,,
901,14510,朱某某,男,汉族,2001,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14490,李某某,男,汉族,2001,白-高二(01),黑龙江省鹤岗,城镇,共青团员,2018-2019-1,,1,
901,14484,胡某某,男,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,,1,
901,14459,李某某,女,汉族,2002,白-高二(01),山西省晋中市,城镇,共青团员,2018-2019-1,1,,604
901,14465,吴某某,女,汉族,2002,白-高二(01),三门,城镇,少先队员,2018-2019-1,1,,604
901,14476,朱某某,女,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,1,,604
901,14478,祝某某,女,汉族,2002,白-高二(01),浙江宁海,城镇,共青团员,2018-2019-1,1,,604
901,14454,陈某某,女,汉族,2001,白-高二(01),宁波,城镇,共青团员,2018-2019-1,,,
901,14455,胡某某,女,汉族,2001,白-高二(01),浙江宁波,城镇,共青团员,2018-2019-1,,,
901,14457,黄某某,女,汉族,2002,白-高二(01),宁波,城镇,共青团员,2018-2019-1,,,
901,14458,黄某某,女,汉族,2001,白-高二(01),宁波市,城镇,共青团员,2018-2019-1,,,
901,14461,柳某某,女,汉族,2001,白-高二(01),宁波,城镇,一般,2018-2019-1,,,
901,14462,陆某某,女,汉族,2002,白-高二(01),汉族,城镇,共青团员,2018-2019-1,,,
901,14463,钱某某,女,汉族,2002,白-高二(01),宁波,城镇,共青团员,2018-2019-1,,,
901,14466,辛某某,女,汉族,2002,白-高二(01),浙江省宁波市,城镇,共青团员,2018-2019-1,,,
901,14467,许某某,女,汉族,2002,白-高二(01),浙江嵊州,城镇,共青团员,2018-2019-1,,,
901,14468,杨某某,女,汉族,2002,白-高二(01),浙江宁波,城镇,共青团员,2018-2019-1,,,
901,14469,余某某,女,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14470,俞某某,女,汉族,,白-高二(01),,城镇,共青团员,2018-2019-1,,,
901,14471,赵某某,女,汉族,2001,白-高二(01),浙江绍兴,城镇,共青团员,2018-2019-1,,,
901,14472,周某某,女,汉族,2001,白-高二(01),浙江诸暨,城镇,共青团员,2018-2019-1,,,
901,14473,周某某,女,汉族,2002,白-高二(01),浙江宁波,城镇,共青团员,2018-2019-1,,,
